Organism;Body Site;Project ID;CDS Count;Contig Count;Contig Locus Min;Contig Locus Max;Contig ASM;Contig CDS;Contig PEP;Contig GBK;Scaffold Count;Scaffold Locus Min;Scaffold Locus Max;Scaffold ASM;Scaffold CDS;Scaffold PEP;Scaffold GBK
Fusobacterium nucleatum subsp. animalis 21_1A;Gastrointestinal_tract;32475;4026;2;ADEE02000001;ADEE02000002;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32475/32475.ADEE02000001-ADEE02000002.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32475/32475.ADEE02000001-ADEE02000002.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32475/32475.ADEE02000001-ADEE02000002.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32475/32475.ADEE02000001-ADEE02000002.nuc.gbk;1;CM002368;CM002368;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32475/32475.CM002368.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32475/32475.CM002368.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32475/32475.CM002368.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32475/32475.CM002368.nuc.gbk
Helicobacter pylori GAM96Ai;Gastrointestinal_tract;89287;3428;112;APEH01000001;APEH01000112;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89287/89287.APEH01000001-APEH01000112.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89287/89287.APEH01000001-APEH01000112.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89287/89287.APEH01000001-APEH01000112.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89287/89287.APEH01000001-APEH01000112.nuc.gbk;72;KB642172;KB642243;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89287/89287.KB642172-KB642243.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89287/89287.KB642172-KB642243.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89287/89287.KB642172-KB642243.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89287/89287.KB642172-KB642243.nuc.gbk
Parabacteroides sp. 20_3;Gastrointestinal_tract;38767;4871;125;ACRQ01000001;ACRQ01000125;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38767/38767.ACRQ01000001-ACRQ01000125.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38767/38767.ACRQ01000001-ACRQ01000125.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38767/38767.ACRQ01000001-ACRQ01000125.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38767/38767.ACRQ01000001-ACRQ01000125.nuc.gbk;61;GG774969;GG775029;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38767/38767.GG774969-GG775029.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38767/38767.GG774969-GG775029.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38767/38767.GG774969-GG775029.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/38767/38767.GG774969-GG775029.nuc.gbk
Bacteroides sp. 2_2_4;Gastrointestinal_tract;32439;5959;204;ABZZ01000001;ABZZ01000204;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32439/32439.ABZZ01000001-ABZZ01000204.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32439/32439.ABZZ01000001-ABZZ01000204.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32439/32439.ABZZ01000001-ABZZ01000204.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32439/32439.ABZZ01000001-ABZZ01000204.nuc.gbk;64;EQ973355;EQ973418;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32439/32439.EQ973355-EQ973418.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32439/32439.EQ973355-EQ973418.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32439/32439.EQ973355-EQ973418.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32439/32439.EQ973355-EQ973418.nuc.gbk
Parasutterella excrementihominis YIT 11859;Gastrointestinal_tract;48497;5502;103;AFBP01000001;AFBP01000103;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48497/48497.AFBP01000001-AFBP01000103.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48497/48497.AFBP01000001-AFBP01000103.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48497/48497.AFBP01000001-AFBP01000103.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48497/48497.AFBP01000001-AFBP01000103.nuc.gbk;93;GL883674;GL883766;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48497/48497.GL883674-GL883766.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48497/48497.GL883674-GL883766.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48497/48497.GL883674-GL883766.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/48497/48497.GL883674-GL883766.nuc.gbk
Helicobacter pylori GAM270ASi;Gastrointestinal_tract;89273;3376;87;APEA01000001;APEA01000087;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89273/89273.APEA01000001-APEA01000087.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89273/89273.APEA01000001-APEA01000087.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89273/89273.APEA01000001-APEA01000087.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89273/89273.APEA01000001-APEA01000087.nuc.gbk;44;KB641775;KB641818;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89273/89273.KB641775-KB641818.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89273/89273.KB641775-KB641818.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89273/89273.KB641775-KB641818.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89273/89273.KB641775-KB641818.nuc.gbk
Fusobacterium necrophorum subsp. funduliforme 1_1_36S;Gastrointestinal_tract;46417;6394;40;ADLZ01000001;ADLZ01000040;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46417/46417.ADLZ01000001-ADLZ01000040.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46417/46417.ADLZ01000001-ADLZ01000040.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46417/46417.ADLZ01000001-ADLZ01000040.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46417/46417.ADLZ01000001-ADLZ01000040.nuc.gbk;15;JH590846;JH590860;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46417/46417.JH590846-JH590860.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46417/46417.JH590846-JH590860.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46417/46417.JH590846-JH590860.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46417/46417.JH590846-JH590860.nuc.gbk
Ruminococcus sp. SR1/5;Gastrointestinal_tract;39149;3260;;;;;;;;1;FP929053;FP929053;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39149/39149.FP929053.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39149/39149.FP929053.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39149/39149.FP929053.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39149/39149.FP929053.nuc.gbk
Helicobacter pylori GAM83Bi;Gastrointestinal_tract;89281;3322;81;APEE01000001;APEE01000081;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89281/89281.APEE01000001-APEE01000081.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89281/89281.APEE01000001-APEE01000081.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89281/89281.APEE01000001-APEE01000081.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89281/89281.APEE01000001-APEE01000081.nuc.gbk;50;KB641725;KB641774;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89281/89281.KB641725-KB641774.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89281/89281.KB641725-KB641774.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89281/89281.KB641725-KB641774.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89281/89281.KB641725-KB641774.nuc.gbk
Butyrivibrio fibrisolvens 16/4;Gastrointestinal_tract;39147;2904;;;;;;;;1;FP929036;FP929036;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39147/39147.FP929036.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39147/39147.FP929036.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39147/39147.FP929036.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/39147/39147.FP929036.nuc.gbk
Paenibacillus sp. HGF7;Gastrointestinal_tract;61827;5992;148;AFDH01000001;AFDH01000148;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/61827/61827.AFDH01000001-AFDH01000148.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/61827/61827.AFDH01000001-AFDH01000148.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/61827/61827.AFDH01000001-AFDH01000148.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/61827/61827.AFDH01000001-AFDH01000148.nuc.gbk;;;;;;;
[Eubacterium] siraeum DSM 15702;Gastrointestinal_tract;18921;5406;55;ABCA03000001;ABCA03000055;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18921/18921.ABCA03000001-ABCA03000055.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18921/18921.ABCA03000001-ABCA03000055.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18921/18921.ABCA03000001-ABCA03000055.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18921/18921.ABCA03000001-ABCA03000055.nuc.gbk;44;DS499508;DS499551;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18921/18921.DS499508-DS499551.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18921/18921.DS499508-DS499551.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18921/18921.DS499508-DS499551.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18921/18921.DS499508-DS499551.nuc.gbk
Campylobacter upsaliensis JV21;Gastrointestinal_tract;53193;1605;1;GL622227;GL622227;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53193/53193.AEPU00000000.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53193/53193.AEPU00000000.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53193/53193.AEPU00000000.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/53193/53193.AEPU00000000.nuc.gbk;;;;;;;
Helicobacter pylori GAMchJs136i;Gastrointestinal_tract;89299;3404;86;APEM01000001;APEM01000086;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89299/89299.APEM01000001-APEM01000086.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89299/89299.APEM01000001-APEM01000086.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89299/89299.APEM01000001-APEM01000086.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89299/89299.APEM01000001-APEM01000086.nuc.gbk;63;KB644629;KB644691;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89299/89299.KB644629-KB644691.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89299/89299.KB644629-KB644691.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89299/89299.KB644629-KB644691.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89299/89299.KB644629-KB644691.nuc.gbk
Lachnospiraceae bacterium 8_1_57FAA;Gastrointestinal_tract;40029;5270;115;ACWQ01000001;ACWQ01000115;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40029/40029.ACWQ01000001-ACWQ01000115.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40029/40029.ACWQ01000001-ACWQ01000115.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40029/40029.ACWQ01000001-ACWQ01000115.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40029/40029.ACWQ01000001-ACWQ01000115.nuc.gbk;51;GL622449;GL622499;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40029/40029.GL622449-GL622499.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40029/40029.GL622449-GL622499.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40029/40029.GL622449-GL622499.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40029/40029.GL622449-GL622499.nuc.gbk
Escherichia coli SE11;Gastrointestinal_tract;18057;5002;;;;;;;;7;AP009240;AP009246;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18057/18057.AP009240.1-AP009246.1.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18057/18057.AP009240.1-AP009246.1.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18057/18057.AP009240.1-AP009246.1.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18057/18057.AP009240.1-AP009246.1.nuc.gbk
Escherichia coli SE15;Gastrointestinal_tract;19053;4488;;;;;;;;2;AP009378;AP009379;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19053/19053.AP009378.1-AP009379.1.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19053/19053.AP009378.1-AP009379.1.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19053/19053.AP009378.1-AP009379.1.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19053/19053.AP009378.1-AP009379.1.nuc.gbk
Bifidobacterium longum subsp. longum F8;Gastrointestinal_tract;45963;1682;;;;;;;;1;FP929034;FP929034;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/45963/45963.FP929034.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/45963/45963.FP929034.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/45963/45963.FP929034.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/45963/45963.FP929034.nuc.gbk
Coprococcus comes ATCC 27758;Gastrointestinal_tract;20525;7826;46;ABVR01000001;ABVR01000046;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20525/20525.ABVR01000001-ABVR01000046.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20525/20525.ABVR01000001-ABVR01000046.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20525/20525.ABVR01000001-ABVR01000046.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20525/20525.ABVR01000001-ABVR01000046.nuc.gbk;13;GG662005;GG662017;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20525/20525.GG662005-GG662017.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20525/20525.GG662005-GG662017.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20525/20525.GG662005-GG662017.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/20525/20525.GG662005-GG662017.nuc.gbk
Escherichia coli MS 185-1;Gastrointestinal_tract;47267;10388;378;ADUE01000001;ADUE01000378;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47267/47267.ADUE01000001-ADUE01000378.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47267/47267.ADUE01000001-ADUE01000378.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47267/47267.ADUE01000001-ADUE01000378.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47267/47267.ADUE01000001-ADUE01000378.nuc.gbk;86;GG774191;GG774276;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47267/47267.GG774191-GG774276.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47267/47267.GG774191-GG774276.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47267/47267.GG774191-GG774276.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47267/47267.GG774191-GG774276.nuc.gbk
Helicobacter pylori 83;Gastrointestinal_tract;34609;1609;;;;;;;;1;CP002605;CP002605;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34609/34609.CP002605.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34609/34609.CP002605.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34609/34609.CP002605.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/34609/34609.CP002605.nuc.gbk
Helicobacter pylori GAM239Bi;Gastrointestinal_tract;89239;3348;91;APDJ01000001;APDJ01000091;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89239/89239.APDJ01000001-APDJ01000091.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89239/89239.APDJ01000001-APDJ01000091.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89239/89239.APDJ01000001-APDJ01000091.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89239/89239.APDJ01000001-APDJ01000091.nuc.gbk;70;KB636292;KB636361;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89239/89239.KB636292-KB636361.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89239/89239.KB636292-KB636361.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89239/89239.KB636292-KB636361.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/89239/89239.KB636292-KB636361.nuc.gbk
;Gastrointestinal_tract;30077;;;;;;;;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/30077/30077.ABQV00000000.nuc.gbk;;;;;;;
Fusobacterium ulcerans ATCC 49185;Gastrointestinal_tract;32487;6382;49;ACDH02000001;ACDH02000049;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.ACDH02000001-ACDH02000049.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.ACDH02000001-ACDH02000049.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.ACDH02000001-ACDH02000049.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.ACDH02000001-ACDH02000049.nuc.gbk;8;JH815228;JH815235;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.JH815228-JH815235.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.JH815228-JH815235.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.JH815228-JH815235.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/32487/32487.JH815228-JH815235.nuc.gbk
Finegoldia magna ATCC 29328;Gastrointestinal_tract;18981;1813;;;;;;;;2;AP008971;AP008972;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18981/18981.AP008971.1-AP008972.1.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18981/18981.AP008971.1-AP008972.1.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18981/18981.AP008971.1-AP008972.1.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/18981/18981.AP008971.1-AP008972.1.nuc.gbk
;Gastrointestinal_tract;41563;;;;;;;;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/41563/41563.ADGF00000000.nuc.gbk;;;;;;;
Blautia hydrogenotrophica DSM 10507;Gastrointestinal_tract;21007;7738;233;ACBZ01000001;ACBZ01000233;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.ACBZ01000001-ACBZ01000233.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.ACBZ01000001-ACBZ01000233.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.ACBZ01000001-ACBZ01000233.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.ACBZ01000001-ACBZ01000233.nuc.gbk;33;GG657678;GG657710;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.GG657678-GG657710.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.GG657678-GG657710.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.GG657678-GG657710.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/21007/21007.GG657678-GG657710.nuc.gbk
Catenibacterium mitsuokai DSM 15897;Gastrointestinal_tract;19923;2977;475;ACCK01000001;ACCK01000475;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19923/19923.ACCK01000001-ACCK01000475.nuc.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19923/19923.ACCK01000001-ACCK01000475.cds.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19923/19923.ACCK01000001-ACCK01000475.pep.fsa;http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/19923/19923.ACCK01000001-ACCK01000475.nuc.gbk;;;;;;;
